country_id	country_name	year	AG.SRF.TOTL.K2	NY.GDP.MKTP.KD.ZG	NY.GDP.PCAP.CD	SH.DYN.NMRT	SH.H2O.SAFE.UR.ZS	SH.STA.BFED.ZS	SI.POV.NAGP	SM.POP.REFG.OR	SP.ADO.TFRT	SP.POP.65UP.TO.ZS	SP.POP.GROW	SP.POP.TOTL	SP.URB.TOTL.IN.ZS	TM.VAL.FOOD.ZS.UN	TX.VAL.FOOD.ZS.UN
ABW	Aruba	2014	180	NA	NA	NA	98.1	NA	NA	NA	23.122	11.7535600003867	0.50396982061011	103441	41.779	NA	NA
ADO	Andorra	2014	470	NA	NA	1.5	100	NA	NA	7	NA	NA	-4.19194054987126	72786	85.633	NA	NA
AFG	Afghanistan	2014	652860	1.31253090783336	633.56924695192	36.1	78.2	NA	NA	2593368	76.7336	2.43468454325801	3.03347255254667	31627506	26.282	9.51326057195841	14.4956237464036
AGO	Angola	2014	1246700	NA	NA	49.6	75.4	NA	NA	9507	166.6028	2.30859331725355	3.26955240572046	24227524	43.274	NA	NA
ALB	Albania	2014	28750	2.16999999999989	4564.39033869288	6.5	94.9	NA	NA	10140	21.4896	12.0622519618116	-0.0998300968586222	2894475	56.409	10.3262176054404	3.00290920278718
ARB	Arab World	2014	13152838.5	2.22165014544402	7386.4284437148	17.955758037425	92.6122004798051	NA	NA	6171232	48.2281529997765	4.26227212098414	2.16809873520243	385272539	57.3884565369192	NA	NA
ARE	United Arab Emirates	2014	83600	4.57028972121714	43962.713693201	3.6	99.6	NA	NA	90	29.2538	1.03930833547671	0.509332470845006	9086139	85.266	NA	NA
ARG	Argentina	2014	2780400	0.45360547903708	12509.5311180615	6.5	98.9	NA	NA	318	63.8512	10.8089836893072	1.03305555285726	42980026	91.604	2.43119437333066	55.8739120379145
ARM	Armenia	2014	29740	3.49999999999989	3873.53356580682	7.7	100	NA	NA	11850	23.5084	10.5795977185467	0.465529171376968	3006154	62.812	19.5126633357618	31.7615739853845
ASM	American Samoa	2014	200	NA	NA	NA	100	NA	NA	NA	NA	NA	0.23840496770808	55434	87.264	NA	NA
ATG	Antigua and Barbuda	2014	440	4.82198262651119	13432.0793301552	5.1	97.9	NA	NA	53	45.6642	7.11551155115511	1.01170114102671	90900	24.19	NA	NA
AUS	Australia	2014	7741220	2.4998512224341	61925.4960621856	2.3	100	NA	NA	25	14.405	14.7242740805711	1.56543128326783	23490736	89.289	6.29194857337666	14.0064108780377
AUT	Austria	2014	83879	0.353471065680438	51190.8082481007	2.2	100	NA	NA	10	7.379	18.5971306984829	0.647909059253162	8534492	65.919	NA	NA
AZE	Azerbaijan	2014	86600	2	7884.19023556968	18.9	94.3	NA	NA	10521	58.5604	5.56231871987924	1.2769828044979	9537823	54.355	17.5176358587454	3.82233345988698
BDI	Burundi	2014	27830	4.66091818447367	286.002335872952	29.3	91.1	NA	NA	72499	28.6552	2.46883106557725	3.29780374786576	10816860	11.761	13.0619116597265	72.0723125737868
BEL	Belgium	2014	30530	1.34836095620594	47352.9429059596	2.2	100	NA	NA	75	8.3764	18.0048461107743	0.378347065020028	11225207	97.818	9.08362411228726	9.38821896313658
BEN	Benin	2014	114760	6.54148665115765	903.464924007693	32.2	85.2	NA	NA	340	84.59	2.88945152711492	2.6410767577434	10598482	43.514	47.6281907275102	29.852954968457
