RIKILT code	Sample id	Country	Tetracycline	Oxytetracycline	Doxycyline	Chloortetracycline	Minocycline	Methacycline	Dapson	Sulfacetamide	Sulfachloropyridazine	Sulfadiazine	Sulfadimethoxine	Sulfadimidine	Sulfadoxine	Sulfamerazine	Sulfamethizole	Sulfamethoxazole	Sulfamethoxypyridazine	Sulfamonomethoxine	Sulfamoxole	Sulfaphenazole	Sulfapyridine	Sulfaquinoxaline	Sulfathiazole	Sulfisoxazole	Trimethoprim	Ciprofloxacin	Danofloxacin	Difloxacin	Enrofloxacin	Flumequin	Marbofloxacin	Nalidixinezuur	Norfloxacin	(Lev)ofloxacin	Oxolinezuur	Sarafloxacin	Trovafloxacin 	Tylvalosin (aivlosin)	Erythromycin	Gamithromycin	Josamycin	Lincomycin	Natamycin	Neospiramycin	Pirlimycin	Spiramycin	Tildipirosin	Tilmicosin	Tulathromycin	Tylosine	Valnemulin	Vancomycin	Tiamulin	Apramycine	Dihydrostreptomycine	Spectinomycine	Gentamicine	Kanamycine	Neomycine	Paromomycine	Streptomycine	Tobramycine	Amikacine	Amoxicilline	Ampicilline	Penicilline G	Penicilline V	Cloxacilline	Dicloxacilline	Nafcilline	Oxacilline	Cefapirine	Cefalexin	Cefalonium	Cefoperazone	Ceftiofur	Cefquinome	Cefacetril	Cefotaxim	Ceftazidime	Cefpodoxime	Cefazolin	Imipenem	Meropenem	Ertapenem	Biapenem	Doripenem	Faropenem
414054	1	Chad	74	<100	110	<100	<500	<500	<5	<5	<25	<5	<5	<5	1700	<5	<5	17500	<5	<25	<5	ntb	<5	<25	66	<5	2150	1950	<5	<5	<5	<5	<5	<5	86	290	<5	<5	<5	ntb	730	<50	<50	75	ntb	ntb	<5	1350	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414055	2	Colombia	46	<100	<50	<500	<500	<500	5	<5	<25	<5	<5	<5	<5	<5	56	1200	<5	<25	<5	ntb	170	<25	<25	<5	99	<5	<5	<5	<5	<5	<5	<5	96	<5	<5	<5	<5	ntb	<5	<50	<50	200	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414056	4	Ghana	96	790	87	<100	<500	<500	<5	<5	<25	<5	<5	54	2500	<5	<5	6900	<5	<25	<5	ntb	<5	<25	720	<5	150	1050	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	7	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414057	6	Kazakhstan	77	<100	66	<100	<500	<500	<5	46	<25	<5	7	<5	<5	<5	<5	490	<5	<25	<5	ntb	72	<25	260	<5	200	2000	<5	<5	<5	<5	<5	<5	47	900	<5	22	<5	ntb	<5	<50	<50	290	ntb	ntb	<5	540	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414058	7	Pakistan	<25	970	240	<100	<500	<500	<5	<5	<25	<5	<5	<5	150	<5	<5	1100	<5	<25	<5	ntb	260	<25	<25	<5	250	2500	<5	<5	<5	<5	<5	96	110	2200	6	<5	<5	ntb	<5	<50	<50	1500	ntb	ntb	<5	110	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414059	8	Sénégal	210	1800	380	<100	<500	<500	<5	<5	<25	<5	<5	1700	1600	<5	<5	14000	<5	<25	<5	ntb	130	<25	<25	<5	2300	5000	<5	<5	<5	<5	<5	<5	570	590	<5	<5	<5	ntb	<5	<50	<50	590	ntb	ntb	<5	630	ntb	<100	ntb	ntb	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414060	9	Slovak Republic	<25	<100	290	<100	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	270	<5	<25	<5	ntb	74	<25	<25	<5	37	1900	<5	<5	<5	<5	<5	<5	160	82	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	160	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414061	10	The Gambia	300	246	570	<100	<500	<500	16	<5	<25	17	<5	37	1700	<5	<5	6150	<5	<25	<5	ntb	<5	<25	<25	<5	1000	2200	<5	<5	<5	<5	<5	<5	25	<5	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414062	11	India	<25	<100	160	<100	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	45	<5	<25	<5	ntb	680	<25	<25	<5	40	96	<5	<5	<5	<5	<5	<5	77	140	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414063	12	Iran	630	<100	330	<500	<500	<500	<5	<5	<25	<5	<5	54	<5	<5	<5	1500	<5	<25	<5	ntb	79	<25	96	<5	150	5700	<5	<5	<5	<5	<5	280	<5	1200	<5	74	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414064	13	COTE D'IVOIRE (elfenbenkysten)	190	12000	570	<100	<500	<500	<5	<5	<25	<5	<5	5	1900	<5	<5	10500	<5	<25	<5	ntb	7	<25	230	<5	2200	3300	<5	<5	<5	<5	<5	<5	2100	460	<5	<5	<5	ntb	<5	<50	<50	280	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
